"Event","City","State","Rep","Start","End"
"Institute of Notre Dame College Fair","Baltimore","Maryland","CeCe Belcher",2013-09-22 12:30,2013-09-22 14:00
"Eastern PA High School Visits","Various","Pennsylvania","CeCe Belcher",2013-09-24,2013-10-03
"The Hill School College Program","Pottstown","Pennsylvania","CeCe Belcher",2013-09-24 17:30,2013-09-24 20:30
"Trinity High School College Night","Camp Hill","Pennsylvania","CeCe Belcher",2013-09-25 18:30,2013-09-25 20:30
"Harrisburg High School Visit","Various","Pennsylvania","CeCe Belcher",2013-09-26,2013-09-26
"Beaver County College Fair","Monaca","Pennsylvania","CeCe Belcher",2013-10-02 18:30,2013-10-02 20:30
"Washington, DC High School Visits","Washington","Washington D.C.","CeCe Belcher",2013-10-07,2013-10-10
"St. Albans Mini-Fair","Washington","Washington D.C.","CeCe Belcher",2013-10-08 13:00,2013-10-08 15:30
"Washington County College Fair","Hagerstown","Maryland","CeCe Belcher",2013-10-09 18:00,2013-10-09 20:00
"Virginia High School Visits","Various","Virginia","CeCe Belcher",2013-10-15,2013-10-17
"Alcanza College Fair","Fairfax","Virginia","CeCe Belcher",2013-10-15 11:00,2013-10-15 12:30
"TC Williams College Fair","Alexandria","Virginia","CeCe Belcher",2013-10-15 18:00,2013-10-15 21:00
"Harford County College Fair","Bel Air","Maryland","CeCe Belcher",2013-10-16 18:00,2013-10-16 21:00
"Maryland High School Visits","Various","Maryland","CeCe Belcher",2013-10-18,2013-10-28
"Washington, DC Regional Interviews","Washington","Washington D.C.","CeCe Belcher",2013-10-19 9:00,2013-10-19 17:00
"Archbishop College Fair Night","Severn","Maryland","CeCe Belcher",2013-10-22 18:30,2013-10-22 20:30
"Episcopal College Fair","Alexandria","Virginia","CeCe Belcher",2013-10-23 14:00,2013-10-23 15:00
"Broadneck College Fair","Annapolis","Maryland","CeCe Belcher",2013-10-23 18:30,2013-10-23 20:30
"Washington, DC Regional Interviews","Washington","Washington D.C.","CeCe Belcher",2013-10-26 9:00,2013-10-26 17:00
"Washington, DC NCF","Washington","Washington D.C.","CeCe Belcher",2013-11-06 9:00,2013-11-06 12:00
"Philadelphia NCF","Philadelphia","Pennsylvania","CeCe Belcher",2013-11-10 11:00,2013-11-10 15:00
"Lower Merrion College/Career Day","Ardmore","Pennsylvania","CeCe Belcher",2013-11-11 8:45,2013-11-11 10:15
"Harriton College/Career Day","Rosemont","Pennsylvania","CeCe Belcher",2013-11-11 11:00,2013-11-11 12:00
