"Event","City","State","Rep","Start","End"
"Bay Area Case Studies","San Francisco and region","California","Annalei Burkhalter",2012-04-22,2012-04-26
"Coastline Case Studies","Orange County & San Diego","California","Annalei Burkhalter",2012-04-29,2012-05-01
"Renegade Case Studies","Los Angeles","California","Annalei Burkhalter",2012-05-16,2012-05-17
"HAISSCCA College Fair","Avon","Connecticut","Justin Wayne Lutz",2012-04-17 18:30,2012-04-17 21:00
"Hotchkiss School College Fair","Lakeville","Connecticut","Justin Wayne Lutz ",2012-04-18 19:00,2012-04-18 20:30
"Cheshire Academy College Fair","Cheshire","Connecticut","Justin Wayne Lutz",2012-04-19 10:00,2012-04-19 11:00
"Chase College Fair","Waterbury","Connecticut","Justin Wayne Lutz",2012-04-19 14:00,2012-04-19 15:30
"Kent School College Fair","Kent","Connecticut","Justin Wayne Lutz",2012-04-22 14:00,2012-04-22 17:00
"Canterbury School College Day","New Milford","Connecticut","Niamh Slevin Roberts",2012-05-11 12:00,2012-05-11 14:00
"Eight of the Best Colleges","New Haven","Connecticut","Stephen Schierloh",2012-05-19 14:00,2012-05-19 16:30
"Delaware Independent and Catholic High Schools College Fair","Wilmington","Delaware","Davita Westbrook",2012-03-29 18:30,2012-03-29 21:30
"IB World School College Fair","Washington","Washington D.C.","Davita Westbrook",2012-04-24 17:00,2012-04-24 21:00
"Washington Association of Independent Schools (WAIS)","Washington","Washington D.C.","Davita Westbrook",2012-04-25 17:00,2012-04-25 21:00
"Eight of the Best Colleges","Miami","Florida  ","Stephen Schierloh",2012-05-24 18:30,2012-05-24 21:00
"Eight of the Best Colleges","Atlanta","Georgia  ","Stephen Schierloh",2012-05-23 18:30,2012-05-23 21:00
"Honolulu National College Fair","Honolulu","Hawaii","Annalei Burkhalter",2012-04-12 08:30,2012-04-12 11:30
"NACAC Fair","Gaithersburg","Maryland","Adam Exline",2012-04-24 09:45,2012-04-24 12:45
"Association of Independent Maryland Schools (AIMS)","Timonium","Maryland","Davita Westbrook",2012-04-26 17:00,2012-04-26 21:00
"Phillips Andover Academy Spring College Fair","Andover","Massachusetts","R. Aiden Bussey",2012-04-30 17:00,2012-04-30 19:00
"NACAC Fair","Boston","Massachusetts","R. Aiden Bussey",2012-05-03 09:00,2012-05-03 12:00
"Boston Independent Schools College Counselor Association Spring Fair",,"Massachusetts","R. Aiden Bussey",2012-05-05 13:00,2012-05-05 16:00
"West Orange High School Post High School Planning Night","West Orange","New Jersey","Justin Wayne Lutz",2012-04-23 19:00,
"Hunterdon County College Fair","Flemington","New Jersey","Justin Wayne Lutz",2012-04-24 18:30,2012-04-24 20:30
"Princeton Area Secondary Schools College Fair","Princeton","New Jersey","Justin Wayne Lutz",2012-04-25,2012-04-25
"Ranney School College Fair","Tinton Falls","New Jersey","Niamh Slevin Roberts",2012-04-30 19:00,2012-04-30 20:30
"Eight of the Best Colleges","Short Hills","New Jersey","Stephen Schierloh",2012-05-20 18:30,2012-05-20 21:00
